imo,source,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified
9384564,self_reported,SEARUN,BRB,314001157,NO_MATCH,2026-01-20T06:46:25Z,2026-08-21T01:08:15Z,False
9384564,self_reported,NORTH SEA,SGP,564369000,NO_MATCH,2012-01-03T17:27:39Z,2013-08-22T05:44:33Z,False
9384564,self_reported,SEARUN,PLW,511101911,NO_MATCH,2025-11-08T09:32:57Z,2026-01-20T06:46:31Z,False
9384564,self_reported,KRYSTALOS,LBR,636026484,NO_MATCH,2026-08-21T01:13:15Z,2026-09-08T23:07:35Z,False
9358412,registry,TORMMATHILDE,DNK,220629000,REGISTRY,2012-03-26T07:17:41Z,2025-05-22T03:38:31Z,True
9358412,self_reported,TORM MATHILDE,DNK,220629000,SEVERAL_FIELDS,2012-01-03T16:51:03Z,2025-05-22T03:41:24Z,True
9358412,self_reported,TIGER WINGS,PAN,352005654,NO_MATCH,2025-05-22T03:44:37Z,2026-09-08T12:23:26Z,False
9408683,registry,ADVANTAGESOLAR,MHL,538006200,REGISTRY,2015-02-16T16:48:19Z,2025-05-15T04:58:25Z,True
9408683,self_reported,ADVANTAGE SOLAR,MHL,538006200,SEVERAL_FIELDS,2015-02-16T16:50:52Z,2025-06-03T07:07:53Z,True
9408683,self_reported,PROFIT,MLT,249782000,SEVERAL_FIELDS,2012-01-01T00:25:07Z,2015-02-16T16:47:52Z,True
9408683,self_reported,P 74,ESP,224803000,NO_MATCH,2015-06-20T00:06:55Z,2015-06-22T19:07:37Z,False
9408683,self_reported,ZHUO YUAN,PAN,352005826,NO_MATCH,2025-08-05T13:44:48Z,2025-08-21T07:41:24Z,False
9408683,self_reported,ZHUO YUAN,PAN,352005626,NO_MATCH,2025-05-15T05:06:58Z,2026-09-08T23:58:33Z,False
9389071,registry,SCORPIO,CYM,319129600,REGISTRY,2017-12-13T07:33:00Z,2025-03-21T12:14:32Z,True
9389071,self_reported,SCORPIO,CYM,319129600,SEVERAL_FIELDS,2017-12-13T07:28:42Z,2025-03-21T12:17:21Z,True
9389071,self_reported,SCORPIO,GRC,240864000,NO_MATCH,2012-01-21T07:00:08Z,2019-04-01T09:23:15Z,False
9389071,self_reported,TANGO 2,PAN,352005354,NO_MATCH,2025-03-21T14:01:17Z,2026-09-08T23:59:34Z,False
9389083,registry,AGRARI,MLT,352005486,REGISTRY,2025-07-10T07:44:15Z,2025-08-07T20:04:57Z,True
9389083,self_reported,TIGER 6,PAN,352005486,SEVERAL_FIELDS,2025-04-15T18:32:08Z,2026-09-08T23:59:55Z,True
9389083,self_reported,AGRARI,MLT,249547000,SEVERAL_FIELDS,2016-04-06T10:31:16Z,2025-04-15T18:30:22Z,True
9389083,self_reported,AGRARI,GRC,240875000,SEVERAL_FIELDS,2012-01-01T13:48:49Z,2016-04-04T13:13:31Z,True
9402328,registry,KARASEA,SGP,564870000,REGISTRY,2012-01-07T21:47:59Z,2025-03-06T04:01:50Z,True
9402328,self_reported,KARA SEA,SGP,564870000,SEVERAL_FIELDS,2012-01-04T11:29:41Z,2025-03-06T04:00:29Z,True
9402328,self_reported,SARA SKY,HKG,477138800,NO_MATCH,2025-03-06T04:09:16Z,2025-11-21T01:59:23Z,False
9402328,self_reported,SARA SKY,SLE,667002520,NO_MATCH,2025-11-21T03:15:21Z,2026-09-08T21:06:25Z,False
9337341,registry,YASAGOLDENMARMARA,MHL,538002844,REGISTRY,2012-01-01T00:34:01Z,2025-07-03T03:18:46Z,True
9337341,self_reported,YASA GOLDEN MARMARA,MHL,538002844,SEVERAL_FIELDS,2012-01-01T00:26:58Z,2025-07-03T03:18:41Z,True
9337341,self_reported,OCEANID,PAN,352005769,NO_MATCH,2025-07-03T03:22:33Z,2026-09-08T23:57:52Z,False
9233777,registry,BACALIAROS,DEU,538006540,REGISTRY,2015-09-11T03:42:50Z,2020-12-01T14:20:05Z,True
9233777,self_reported,BACALIAROS,MHL,538006540,SEVERAL_FIELDS,2015-09-10T06:59:38Z,2020-12-01T14:24:54Z,True
9233777,self_reported,CAPE BOWEN,MHL,538090163,SEVERAL_FIELDS,2012-01-05T17:54:14Z,2015-09-02T07:47:48Z,True
9233777,self_reported,OCEAN II,ATG,305203000,NO_MATCH,2024-05-02T17:29:40Z,2025-11-12T13:52:44Z,False
9233777,self_reported,AMETHYST MTS,LBR,636023136,NO_MATCH,2023-08-15T21:51:57Z,2024-05-25T01:23:18Z,False
9233777,self_reported,OCEAN II,CMR,613661401,NO_MATCH,2025-11-12T13:39:47Z,2026-09-08T23:55:33Z,False
9233777,self_reported,AMETHYST MTS,CYP,210110000,NO_MATCH,2020-12-01T14:42:04Z,2023-08-15T21:25:23Z,False
9821469,registry,LACHIN,AZE,423488100,REGISTRY,2019-12-07T04:57:13Z,2026-07-31T12:57:38Z,False
9821469,self_reported,LACHIN,AZE,423488100,SEVERAL_FIELDS,2019-12-07T04:51:11Z,2026-09-08T23:33:19Z,True
9274525,registry,NORDICRIO,BHS,311585000,REGISTRY,2012-01-04T07:09:10Z,2022-12-15T11:12:02Z,True
9274525,self_reported,NORDIC RIO,BHS,311585000,SEVERAL_FIELDS,2012-01-01T11:25:27Z,2022-12-30T22:48:30Z,True
9274525,registry,CARDINAL,MHL,538002349,REGISTRY,2012-01-04T06:57:45Z,2022-08-18T05:00:44Z,True
9274525,self_reported,CL SAPPHIRE,MHL,538002349,SEVERAL_FIELDS,2012-01-01T11:20:34Z,2026-09-08T23:59:27Z,True
9274525,self_reported,CARDINAL,MHL,538002349,SEVERAL_FIELDS,2019-06-08T04:14:00Z,2019-08-11T10:55:54Z,True
9274525,self_reported,LXH,BHS,311002021,NO_MATCH,2026-06-20T14:05:53Z,2026-09-08T23:57:38Z,False
9274525,self_reported,LXH,PAN,352002251,NO_MATCH,2022-12-15T11:17:56Z,2026-08-16T19:32:19Z,False
9306809,registry,NCCTABUK,SAU,403581000,REGISTRY,2012-01-01T12:02:15Z,2024-09-12T04:09:27Z,True
9306809,self_reported,NCC TABUK,SAU,403581000,SEVERAL_FIELDS,2012-01-01T10:41:47Z,2024-09-12T04:12:21Z,True
9306809,self_reported,CC INNOVATOR,MHL,538011300,NO_MATCH,2024-09-12T10:30:10Z,2025-08-24T03:57:02Z,False
9306809,self_reported,INNOVATOR,HKG,477165100,NO_MATCH,2025-08-20T08:24:28Z,2026-03-21T06:31:03Z,False
9306809,self_reported,LAYLA,CMR,613414703,NO_MATCH,2026-03-31T05:28:43Z,2026-09-08T23:57:42Z,False
9037123,registry,ZHONGGANGDALIAN,CHN,413366530,REGISTRY,2015-05-26T10:38:39Z,2019-12-14T08:37:28Z,True
9037123,self_reported,SHAN  GANG  RONG  HE,CHN,413366530,SEVERAL_FIELDS,2015-05-26T10:21:35Z,2024-07-24T02:20:46Z,True
9037123,self_reported,HAI CHANG DA LIAN,CHN,413202420,SEVERAL_FIELDS,2012-01-03T00:56:11Z,2015-05-26T10:00:35Z,True
9037123,self_reported,SC CUTTA,CMR,613471041,NO_MATCH,2026-02-12T02:16:13Z,2026-07-13T06:12:52Z,False
